,processed,label
255,trump administration horrible job coronavirus bad president history vote blue,neg
256,anyone know much purell cost coronavirus charge small bottle small enough,neg
257,apple upcoming iphone could delay due coronavirus,neg
258,corona virus italy restricted area mean,neg
259,spend hour dmv monday coronavirus,neg
260,singapore work round clock find coronavirus case lie youve via,neg
261,bad hope wish pray republicans get coronavirus,neg
262,insane cruel watch nurse rip question afford make coronavirus vaccine free,neg
263,opps bad peta hate meat eater bad say meat eater spread corona virus tho,neg
264,coronavirus qatar ban traveller india nation week,neg
265,market tank coronavirus outlook worsens trust shit trump say thats,neg
266,stayathome stock buy help fight coronavirus market selloff plus stock crush fellow,neg
267,ortiga smith tiene coronavirus wtf,neg
268,film stephen kings stand crazy coronavirus scare via,neg
269,coronavirus variation common cold virus still dont vaccine common cold,neg
270,look like fuck coronavirus today,neg
271,either corona virus bad say react,neg
272,coronavirus bad extent even cock fear hen china chaii,neg
273,listen howard stern show youre miss two low narcissist talk,neg
274,get idea get ppl agree itcan corona virus wipe yts fhe planet,neg
275,people panic buying due scaremongering corona virus,neg
276,ill list thing infinitely dangerous coronavirus,neg
277,democrat demand trump ensure pay sick leave free test put worker corporate profit covid,neg
278,coronavirus officially put job lab close school nanny kid also close,neg
279,include selfemployed statutory sick pay coronavirus,neg
280,masatafrika itse jst saw pic corona virus challenge hahahaha funny bad taste,neg
281,coronavirus fuck tarrant county,neg
282,coronavirus contagion propaganda,neg
283,far donald trump response coronavirus combine bad feature autocracy democracy mix,neg
284,afraid coronavirus genuinely curious since lot mutuals dont seem talk much,neg
285,firmly disbelieve coronavirus spread via,neg
286,caution san bruno senior center sbsc sbsc close amid possib,neg
287,start cry way home couldnt wipe face coronavirus,neg
288,work stop spread coronavirus wash hand least second cough,neg
289,another cruise ship trouble san francisco trouble coronavirus,neg
290,dangerous corona virus,neg
291,coronavirus eat,neg
292,still tour around europe summer ask bcs bitch name coronavirus annoy,neg
293,life unfair coronavirus issue put many work small business etc financ,neg
294,ive kill people coronavirus kill people still aint caught,neg
295,interpret coronavirus anything divine intervention elde,neg
296,afraid coronavirus really kill old people bunch old people die america,neg
297,mataaf empty due corona virus outbreak allah reham,neg
298,coronavirus myth false flag,neg
299,loom hospital system failure due,neg
300,mean try convince coronavirus much bad flu fox,neg
301,everyones panic buying toilet roll hand sanitiser preparation coronavirus theres mum whos bring pepsi ffs,neg
302,sigh hate corona virus,neg
303,cnbc sxsw cancel due coronavirus austin declares local disaster via,neg
304,america due drive thru test site corona virus china erect hospital day wtf,neg
305,look like toilet paper currency apocalypse,neg
306,coronavirus expert worstcase scenario million infect dead,neg
307,ive shit gillens toilet live see day corona virus aint get nothing,neg
308,watch listen fox news die believe say deserve come coronavirus,neg
309,attention filipinas corona virus solution portable hospital machine power negative ion current,neg
310,mean congress planning home protect corona virus congress,neg
311,coronavirus cant shit towards amp impact elderly amp child idiot,neg
312,coronavirus fuck tarrant county,neg
313,stop spending money stupid wall spend money protect american coronavirus fuck moron,neg
314,carnivorous coronavirus fuck,neg
315,motho post gore theyre look job add weird hashtag,neg
316,really hope fuck catch coronavirus,neg
317,main loser corona virus ordinary people society,neg
318,fact check trump misplace blame obama coronavirus test nbc los angeles,neg
319,honor comment iran continue ignore common sense measure would stop spread coronavirus,neg
320,coronavirus least next day,neg
321,wow large gaming expo cancel due coronavirus concern wasnt due take place,neg
322,tourism cancel meet buyer event due take place icc belfast waterfront,neg
323,coronavirus yall back wash hand arent filthy animal,neg
324,snls sand modesto alter scene due coronavirus,neg
325,washington geoduck industry deal trouble coronavirus impact pronounce gooeyduck,neg
326,fuck gov polis declare state emergency due coronavirus colorado,neg
327,coronavirus death life care senior center washington state center,neg
328,set april belgium postpone due coronavirus outbreak promotion,neg
329,one person infect corona virus week ago point case,neg
330,take coronavirus seriously cleaning trolley staff even wear glove duh dirt,neg
331,apple give retail hourly worker unlimited sick leave coronaviruslike symptom via,neg
332,serious wait wil come get,neg
333,hey bernie hope california doesnt lockdown due corona virus,neg
334,strange part observe people reaction see people think coronavirus either fake,neg
335,dead tire hear damn corona virus amp even gon say really want say,neg
336,job wont matter dead coronavirus,neg
337,factbox suspend flight due outbreak,neg
338,unfortunately think tory believe several problem sort coronavirus,neg
339,coronavirus fake scam every election period illness disease spread throughout news,neg
340,instal long coronavirus anyway,neg
341,jammu keral govt order cinema owner shut theater till marc due corona virus,neg
342,coronavirus coachella postpone october due covid concern,neg
343,hope true bruno internet chat room say artificial bre,neg
344,slow coronavirus must wash hand dont hoard sanitizer keep social distance dont call mee,neg
345,someone make scary robocalls say people coronavirus call look like come chi hea,neg
346,sorry bookie coronavirus try get money,neg
347,crazy hearing corona virus killing really think kill heart leave,neg
348,coronavirus death life care senior center washington state center,neg
349,think italy situation bad health care system make hard stop coronavirus,neg
350,everything stupid coronavirus misinformation amp racism daily show,neg
351,idea coronavirus come chinese people eat weird food say certain animal,neg
352,health system show ready coronavirus pandemic washington post via,neg
353,currently panic buying toilet roll coronavirus cause,neg
354,big ear festival cancel due coronavirus concern wjhl tricities news amp weather,neg
355,hyman capital management kyle bass coronavirusdriven selloff oil via,neg
356,sad cure coronavirus yetor trump derangement syndrome hope get well soon,neg
357,report lift blackout coronavirus force game behind closed door,neg
358,free sample costco today coronavirus far,neg
359,would appear fake stats circulate boost corona virus danger would want dems medi,neg
360,bad amaechi reveal coronavirus affect lagosibadan rail project,neg
361,people flu feel like shit lay bed day people corona virus think want,neg
362,shock photo show coronavirus impact ayatollah khameneis cabinet iran first vice president infect,neg
363,tryna chinese takeout give business support wake idiot refuse eat coronavirus,neg
364,honestly tire hear corona virus know flight book head mask,neg
365,coronavirus bay area sport impact expert say avoid game teamswary,neg
366,urgent tell stop force driver work sick,neg
367,government take action spread coronavirus fake news take look measure take,neg
368,therefore coronavirus high percentage death rate vaccine seriously,neg
369,main reason president trump isnt concern coronavirus think secret service agent,neg
370,fact check white house falsely claim coronavirus contain,neg
371,virus strand vaccine medication wheras coronavirus,neg
372,coronavirus joke yall seein shit,neg
373,make joke death coronavirus funny sick person need help,neg
374,everybody shit sceard coronavirus expert explain get,neg
375,concern take minute read chaga mushroom,neg
376,fifth covid case sick moh,neg
377,lebron james aint play league play game without fan due coronavirus concern,neg
378,mad imf coronavirus seem affect africa,neg
379,professor obsessed corona virus offer extra credit make hand wash,neg
380,coronavirus really fuck trip europe,neg
381,corona virus literally severe cold people risk death immunocompromised amp elderly,neg
382,stark rise number people die coronavirus italy death record,neg
383,everyone keep blame trump play corona virus take seriously well heres fact,neg
384,post enlightening message last night guy didnt even likeshare hate,neg
385,coronavirus olympiakos wolf europa league behind closed door,neg
386,everybody worry coronavirus worry scary terry smh,neg
387,democrat ask ice release illegal immigrant risk coronavirus,neg
388,scat suspend flight mongolia due,neg
389,maybe coronavirus aint bad,neg
390,,neg
391,idiot think prevent homeless get coronavirus zero concern,neg
392,corona virus actually world wide epidemic probably catch eventually,neg
393,bill gate make coronavirus try force evil vaccine medium plan year,neg
394,fuck christian pastor support ministry youll supernatural protection coronavirus,neg
395,coronavirus seriously cancel,neg
396,sorry cann say coronavirus fierd citizen american taliban,neg
397,people get mad ecc cancel corona virus get equally pissy,neg
398,coronavirus scary,neg
399,coronavirus leave seat empty london blockchain week turn home computer,neg
400,wtf happen ticket rome,neg
401,whistleblower resident claim chinas recovery fake outbreak continue,neg
402,coronavirus advice wash hand toilet strange toilet,neg
403,corona virus get serious asff,neg
404,interview italian doctor coordinate response please take covid seriously ever,neg
405,bullying blaming asian corona virus fuck stop get help need help,neg
406,must break chain contact economy coronavirus dead survivor,neg
407,stock tank renew coronavirus anxiety dow point via,neg
408,yellow journalism dishonest claim trump storm coronavirus question,neg
409,trump say shut coronavirus doctor say thats true,neg
410,game misconduct womens world hockey championship set start march canada cancel due coronavirus,neg
411,shit coronavirus merch yall need hoodie remember wash hand hate,neg
412,dude kyy langg virus deadly corona virus could kill instantly hiv would kill,neg
413,coronavirus could make hard stock medicine cabinet,neg
414,break celtic march nine row serious threat spfl chief warn coronavirus outbreak could threa,neg
415,least find meeting avoid email,neg
416,kerplunk illconceived coronavirus game setup agonize literal suffering take forever,neg
417,medical xpress report test delay coronavirus case surge past,neg
418,hate everyone,neg
419,people buy surgical mask dont get corona virus fuck idiot mask stop,neg
420,trump make fake coronavirus death rate fox news,neg
421,coronavirus outbreak fear bitcoin slump past week,neg
422,funny tragic time,neg
423,coronan barbarian,neg
424,next corona virus bad disease ridiculous poltical correctness,neg
425,fuck school coronavirus gon kill dumbass anyway,neg
426,alabama dept public health confirm theyve test least patient coronavirus negative far,neg
427,complete shutdown university due covid impossible,neg
428,shit gettin outta control damn school district call explain prevent,neg
429,two coronavirus victim attend aipac conference mike penny speak report raw story via rawstory,neg
430,know takeaway coronavirus panic panic insanely punch fellow americ,neg
431,coronavirus time bomb america uninsured brutal work culture,neg
432,spray clorox cleaner forget coronavirus finna blind,neg
433,sure worried coronavirus point afraid ask,neg
434,coronavirus carnival cruise ship long beach mess day cruise mexico start tomorrow,neg
435,really want slow spread coronavirus make effort,neg
436,dentist office take coronavirus seriously ask question recent travel ask sanitiz,neg
437,princess cruise ship one corona virus cruise line,neg
438,coachella postpone october due coronavirus concern,neg
439,bring conclusion airline high today due coronavirus delt,neg
440,global tourism crash due coronavirus,neg
441,new false flag soon impeachment hoax continently show,neg
442,take climate change seriously coronavirus lot achieve,neg
443,dump production slate bad film blame coronavirus,neg
444,whole let compare covid number flu number make seem less bad thing insane thats like,neg
445,weve suffer climate year coronavirus gon fall earth dream,neg
446,rep matt gaetz defend wear gas mask coronavirus vote stupid matt gaetz realize coronavirus,neg
447,quint shin ball saliva concern due coronavirus bhuvneshwar kumar quint,neg
448,coronavirus fear large gathering kybosh extent unfortunately,neg
449,imagine watch nationally televise patrick beverly talk shit lebron james fan stadium coronavirus,neg
450,reason bottle mention coronavirus exist long covid thats new,neg
451,god hope cancel olympics game coronavirus hate jock,neg
452,lnp use corona virus stimulus excuse cover every failure management economy,neg
453,nearly million child keep school due coronavirus infographic forbes,neg
454,people stock toilet paper coronavirus dont see connection corona virus toilet paper,neg
455,yeah hear trump release corona virus america pathetic man,neg
456,sorry hop bandwagon coronavirus cancellation dss cancel,neg
457,coronavirus nypost may force nyc office staffer work remotely,neg
458,damn tekken soulcalibur world tour get rescheduled due coronavirus concers,neg
459,never felt sorry hear expose,neg
460,symptom corona virus fever cough shortness breath sound sort like typical flu,neg
461,alert tragic vatican announcement coronavirus shocker,neg
462,dont even care state emergency coronavirus feelin lonely,neg
463,coronavirus scary,neg
464,man wash yall fucking hand ion want coronavirus shit,neg
465,ive always coronavirus know yall dont wash nasty hand,neg
466,coronavirus bad elderly people underlying medical condition risk,neg
467,fair every town someone test positive coronavirus close school meanw,neg
468,inside fight early deadly coronavirus sars via,neg
469,coronavirus hoax thats destroy america empire,neg
470,accord piece drew dead coronavirus also drew dead,neg
471,post edit joe giudice call coronavirus silly whereas empty italy,neg
472,tesco confused toilet roll get clear coronavirus epidemic wou,neg
473,unicefwarns scam coronavirus message circulate social mediaabcnews fake message,neg
474,wake frantically google symptom see leave arm actively fire relate coronavirus relaxes back bed,neg
475,chinese freelance journalist miss since arrest feb cover coronavirus crisis,neg
476,case corona virus india people crazy mask daily hundred suffer,neg
477,action trump administration take one court take coronavirus info,neg
478,inform fulton county teacher corona virus shut school,neg
479,dear tell jake tapper aware doctor unable order coronavirus,neg
480,horrible hopefully itll stop soon,neg
481,warn company make false coronavirus claim via,neg
482,anyone else increasingly frustrate slow britain government respond coronavirus,neg
483,hate break virus dont actually give fuck donald trump,neg
484,thats mean club amp wherever theyve possibly expose coronavirus,neg
485,serious coronavirus infectious disease expert michael osterh via,neg
486,report case mar gmt different close case rate,neg
487,watch white house respond coronavirus outbreak arkansas officer kill line,neg
488,american dead coronavirus amp msm act like sky fall educate liberal,neg
489,dow drop point impatient investor wait white house stimulus package fight coronavirus impact,neg
490,four illegal immigrant find lorry bedfordshire test coronavirus,neg
491,sudden spike infomercial rating due unwillingness watch program mention coronavirus,neg
492,imagine tired stupid coronavirus,neg
493,damn sick tired see hear coronavirus,neg
494,pryzm show cancel due coronavirus reschedule album come make,neg
495,coronavirus may miracle americans need show incompetent perverted president,neg
496,take coronavirus ease bay area traffic ive never see empty bart lot weekday morning per,neg
497,pathetic self centre man lie usa coronavirus,neg
498,least corona virus distract sick monkey post impeachment craziness wet,neg
499,absolutely tire see coronavirus twitter everyday,neg
500,coronavirus moron,neg
501,toilet aisle uvillage,neg
502,mean inslee sneakily put coronavirus quarantine portable middle white center without warn publi,neg
503,fda warns company stop claiming silver product treat coronavirus christine hauser,neg
504,morgantown several inch snow freeze road shut wvu see class corona virus exist wvu shit,neg
505,yeah racism towards asian coronavirus terrible start cough little coffe,neg
506,keep relationship intact youre force work home coronavirus outbreak,neg
507,flight mumbai bangkok cancel due coronavirus request refund bangkok krabibangkokworst suppor,neg
508,gon love sweep poor republican red state fail expand medic,neg
509,research dont coronavirus thank god whatever come hard fast,neg
510,corona virus trump biden illegal immigration common theyll cover,neg
511,serious stop coronavirus need make easy hourly work live pay check,neg
512,saw know doctor work nonstop coronavirus outbreak parent get sick via,neg
513,indonesia president say dont afraid corona virus sufferer get well true,neg
514,catch corona virus feeling drunk,neg
515,tory health minister get corona virus make shit,neg
516,coronavirus cut edge technology,neg
517,coronavirus spread one study predict even bestcase scenario million dead tril,neg
518,democrat politically weaponize coronavirus pretty sad hope people get sick die,neg
519,oil price collapse little help struggle airline suffer coronavirus demand slump,neg
520,see stark contrast trump expert coronavirus,neg
521,event cancel move online platform due still online calendar,neg
522,dont understand fuss corona virus deadly elderly people people already,neg
523,spread far bad expect month sars infected people countri,neg
524,afraid die want family size bag chip,neg
525,nail help people seem serious shit obligate help humanity,neg
526,listen daily coronavirus know family take care wash hand cal,neg
527,corona virus really need run hand ruin everything annoying man,neg
528,dirty money case use cash coronavirus outbreak,neg
529,immigration hello good day sir may help sick corona virus,neg
530,cpacs coronavirus email anger trump administration official business insider,neg
531,thank normal virus mutate common cold corona virus,neg
532,see use coronavirus excuse shut parliament,neg
533,italy announce sweeping new measure try contain europe bad coronavirus outbreak via,neg
534,new report detail trump personally make americas coronavirus response worse,neg
535,thing scar coronavirus income lash touch people face day,neg
536,annoying see people make fun corona virus thousand mile away area,neg
537,news outlet ask reporter cover cpac selfquarantine due coronavirus concern,neg
538,fan allow due coronavirus threatleipzig tottenham play fan stadiumthe champion,neg
539,council foreign relation roundtable call business coronavirus cancel due,neg
540,get coronavirus twice mean equis,neg
541,conspiracy theories around curious anyone,neg
542,coronavirus update wuhan shuts makeshift hospital china case slow,neg
543,ive write delete many tweet frustrate worry family angry,neg
544,ireland coronavirus update business usual lad,neg
545,surprise medical bill coronavirus bad insurance argument medicare via,neg
546,rlly feel coronavirus gon die summer,neg
